,Unnamed: 0,动词,名词
425,425,读完,狗子
426,426,牵到,0
427,427,打破,婚姻
428,428,打败,枕头
429,429,判给,消息
431,431,接叫,0
433,433,问,村子
434,434,说穿,镜子
436,436,开得,0
437,437,背,饭
438,438,遗忘,闲话
439,439,摧毁,面子
440,440,照亮,性命
441,441,出,0
442,442,摘掉,小孩子
443,443,诓,香烛
444,444,遮蔽,0
445,445,看成,胭脂
446,446,伸展,箱子
448,448,夺走,0
449,449,拉近,0
450,450,围住,0
451,451,进,箱
452,452,注入,0
453,453,拌,支票
454,454,溶化,0
455,455,伸过,0
457,457,驱赶,家树
458,458,耍,财神爷
459,459,整,他骇
460,460,沉,快枪
461,461,引,0
462,462,抓到,脚架
464,464,留下来,0
465,465,掀开,0
466,466,换上,0
467,467,击倒,马车
468,468,砸碎,0
469,469,烧坏,0
470,470,释放,0
471,471,弄乱,0
472,472,塞入,0
473,473,包围,面
474,474,开启,0
475,475,支,月容
476,476,浮,帘子
477,477,带去,烟卷
478,478,驶进,脚步
479,479,供养,名片
480,480,交与,0
481,481,兜,火柴
482,482,插入,火柴盒
483,483,运走,马
484,484,出版,脖子
485,485,放走,0
487,487,运,信生
488,488,放大,0
489,489,拉倒,0
490,490,忘却,0
492,492,支了,产业
493,493,惊,房
494,494,揽,0
495,495,横,0
496,496,褪,0
497,497,搂,眉毛
498,498,耷拉,烟枪
499,499,拣,脸子
500,500,探,0
501,501,聚集,茶房
502,502,拎,0
503,503,进来,鼻子
504,504,安排,0
505,505,欣赏,0
506,506,迷住,正经话
507,507,补救,0
508,508,派,0
509,509,动,0
510,510,揉,茶杯
511,511,让,0
512,512,瞧,电话机
513,513,瞪,0
514,514,看透,茶
515,515,宣读,0
516,516,丢开,祭文
517,517,打发掉,0
518,518,存,0
519,519,抓走,0
520,520,拉到,0
521,521,通读,0
522,522,还清,画
523,523,入,0
524,524,埋藏,0
525,525,抽开,0
526,526,简单化,烟
527,527,切断,0
528,528,借给,双手
529,529,接通,0
530,530,开到,0
531,531,显示,洋烛
532,532,加,皮袄
533,533,腾空,功课
534,534,颠倒,酒菜
535,535,看作,世事
536,536,败坏,事
537,537,掏空,大爷
538,538,禁绝,0
540,540,失掉,0
